NPTDR File Region	NPTDR File Admin Area	NPTDR Operator Code	Code Problem	NPTDR Route Numbers
Great Britain	National	SEB	missing	BusRoute 1, BusRoute 2, BusRoute 3, BusRoute 5, BusRoute 10, BusRoute 11, BusRoute 1A, BusRoute 51, BusRoute 52, BusRoute 53, BusRoute 54, BusRoute 56, BusRoute 57, BusRoute 58, BusRoute 5A, BusRoute 252, BusRoute 501, BusRoute 56A, BusRoute LOOP
Great Britain	National	PRO	missing	BusRoute 16, BusRoute 70, BusRoute 767
Great Britain	National	GNE	missing	BusRoute 130, BusRoute 13, BusRoute 14, BusRoute 15, BusRoute 15A, BusRoute 201, BusRoute 202, BusRoute 203, BusRoute 206, BusRoute 207, BusRoute 208, BusRoute 209, BusRoute 210, BusRoute 211, BusRoute 21, BusRoute 22, BusRoute 23A, BusRoute 23B, BusRoute 23C, BusRoute 28, BusRoute 28A, BusRoute 34, BusRoute 34A, BusRoute 50, BusRoute 60, BusRoute 61, BusRoute 704, BusRoute 71, BusRoute 794, BusRoute 814, BusRoute 815, BusRoute 819, BusRoute 820, BusRoute 821, BusRoute 822, BusRoute 823, BusRoute 824, BusRoute 825, BusRoute 826, BusRoute 827, BusRoute 829, BusRoute 830, BusRoute 833, BusRoute 836, BusRoute 841, BusRoute 843, BusRoute 844, BusRoute 871, BusRoute 873, BusRoute 877, BusRoute 884, BusRoute 885, BusRoute 886, BusRoute 887, BusRoute 888, BusRoute 8, BusRoute 923, BusRoute 935, BusRoute 937, BusRoute B1, BusRoute N20, BusRoute N21, BusRoute V1, BusRoute V2, BusRoute V3, BusRoute V4, BusRoute V5, BusRoute V6, BusRoute V8, BusRoute V9, BusRoute X10, BusRoute X25, BusRoute X35, BusRoute X78, BusRoute X9, BusRoute 143, BusRoute 828, BusRoute 20, BusRoute 20X, BusRoute 65, BusRoute 78, BusRoute 78A, BusRoute X22, BusRoute X23, BusRoute 8A, BusRoute 70, BusRoute X70, BusRoute X71, BusRoute X30, BusRoute X31, BusRoute 43, BusRoute 43B, BusRoute 44, BusRoute 45, BusRoute 46, BusRoute 1, BusRoute 103, BusRoute 104, BusRoute 105, BusRoute 106, BusRoute 10A, BusRoute 110, BusRoute 111, BusRoute 114, BusRoute 115, BusRoute 116, BusRoute 118, BusRoute 12, BusRoute 120, BusRoute 123, BusRoute 124, BusRoute 128, BusRoute 131, BusRoute 132, BusRoute 134, BusRoute 135, BusRoute 137, BusRoute 138, BusRoute 141, BusRoute 142, BusRoute 144, BusRoute 145, BusRoute 146, BusRoute 147, BusRoute 151, BusRoute 155, BusRoute 16, BusRoute 17, BusRoute 170, BusRoute 180, BusRoute 187, BusRoute 18A, BusRoute 19, BusRoute 2, BusRoute 26, BusRoute 27, BusRoute 29, BusRoute 2A, BusRoute 2C, BusRoute 309, BusRoute 31, BusRoute 32, BusRoute 327, BusRoute 333, BusRoute 35, BusRoute 36A, BusRoute 36C, BusRoute 38, BusRoute 39, BusRoute 391, BusRoute 392, BusRoute 4, BusRoute 40, BusRoute 40C, BusRoute 41C, BusRoute 42, BusRoute 421, BusRoute 422, BusRoute 441, BusRoute 442, BusRoute 444, BusRoute 451, BusRoute 453, BusRoute 459, BusRoute 461, BusRoute 462, BusRoute 469, BusRoute 47, BusRoute 47B, BusRoute 48, BusRoute 49, BusRoute 496, BusRoute 49A, BusRoute 5, BusRoute 51, BusRoute 52, BusRoute 525, BusRoute 53, BusRoute 54, BusRoute 542, BusRoute 556, BusRoute 558, BusRoute 56, BusRoute 57, BusRoute 57C, BusRoute 58, BusRoute 63, BusRoute 652, BusRoute 660, BusRoute 665, BusRoute 670, BusRoute 671, BusRoute 673, BusRoute 674, BusRoute 675, BusRoute 676, BusRoute 677, BusRoute 678, BusRoute 679, BusRoute 68, BusRoute 681, BusRoute 686, BusRoute 687, BusRoute 69, BusRoute 691, BusRoute 694, BusRoute 695, BusRoute 697, BusRoute 698, BusRoute 69A, BusRoute 73, BusRoute 75, BusRoute 76, BusRoute 79, BusRoute 792, BusRoute 801, BusRoute 802, BusRoute 803, BusRoute 804, BusRoute 81, BusRoute 812, BusRoute 816, BusRoute 832, BusRoute 834, BusRoute 835, BusRoute 837, BusRoute 838, BusRoute 839, BusRoute 83A, BusRoute 83C, BusRoute 840, BusRoute 842, BusRoute 845, BusRoute 846, BusRoute 847, BusRoute 848, BusRoute 85, BusRoute 850, BusRoute 853, BusRoute 854, BusRoute 855, BusRoute 856, BusRoute 857, BusRoute 859, BusRoute 86, BusRoute 860, BusRoute 861, BusRoute 862, BusRoute 863, BusRoute 866, BusRoute 868, BusRoute 870, BusRoute 874, BusRoute 875, BusRoute 88, BusRoute 890, BusRoute 891, BusRoute 892, BusRoute 896, BusRoute 899, BusRoute 9, BusRoute 91, BusRoute 91A, BusRoute 92, BusRoute 921, BusRoute 922, BusRoute 93, BusRoute 930, BusRoute 933, BusRoute 939, BusRoute 94, BusRoute 941, BusRoute 95, BusRoute 96, BusRoute 960, BusRoute 96A, BusRoute 97, BusRoute 98, BusRoute 98A, BusRoute 99, BusRoute 994, BusRoute H1, BusRoute M1, BusRoute M2, BusRoute M3, BusRoute M3A, BusRoute N56, BusRoute N58, BusRoute N97, BusRoute Q1, BusRoute Q2, BusRoute W5, BusRoute W6, BusRoute X1, BusRoute X1A, BusRoute X66, BusRoute X88, BusRoute 10, BusRoute 318, BusRoute 604, BusRoute 684, BusRoute 688, BusRoute 74, BusRoute 74A, BusRoute H11, BusRoute H53
Great Britain	National	AK	missing	BusRoute 005, BusRoute 006, BusRoute 007, BusRoute 001, BusRoute 002, BusRoute 003, BusRoute 004, BusRoute 5, BusRoute 6, BusRoute 7, BusRoute 8, BusRoute 9, BusRoute 12, BusRoute 17, BusRoute 18, BusRoute 19, BusRoute 28, BusRoute 58, BusRoute 59, BusRoute 64, BusRoute 70, BusRoute 71, BusRoute 72, BusRoute 77, BusRoute 79, BusRoute 81, BusRoute 82, BusRoute 84, BusRoute 85, BusRoute 88, BusRoute 89, BusRoute 147, BusRoute 155, BusRoute 158, BusRoute 218, BusRoute 219, BusRoute 220, BusRoute 221, BusRoute 225, BusRoute 228, BusRoute 229, BusRoute 254, BusRoute 257, BusRoute 267, BusRoute 276, BusRoute 277, BusRoute 281, BusRoute 287, BusRoute 297, BusRoute 333, BusRoute 336, BusRoute 338, BusRoute 339, BusRoute 400, BusRoute 402, BusRoute 431, BusRoute 432, BusRoute 501, BusRoute 502, BusRoute 503, BusRoute 506, BusRoute 562, BusRoute 570, BusRoute 571, BusRoute 572, BusRoute 573, BusRoute 575, BusRoute 576, BusRoute 582, BusRoute 607, BusRoute 615, BusRoute 618, BusRoute 693, BusRoute 703, BusRoute 704, BusRoute 705
Great Britain	National	NLK	missing	FerryRoute NL1, FerryRoute NL2
Great Britain	National	1800	missing	BusRoute 234, BusRoute 956
Great Britain	National	1011	missing	BusRoute 2C, BusRoute 546, BusRoute 649, BusRoute 851, BusRoute S5, BusRoute S18, BusRoute S76, BusRoute T1, BusRoute 16, BusRoute 541, BusRoute 840, BusRoute S2, BusRoute 639, BusRoute 916, BusRoute 14, BusRoute 17, BusRoute 7, BusRoute 18, BusRoute 20, BusRoute 2, BusRoute 5, BusRoute 9, BusRoute 11, BusRoute 15, BusRoute 10, BusRoute 1, BusRoute 4, BusRoute 3, TramMetroRoute TRAM
Great Britain	National	1932	missing	BusRoute HD1
Great Britain	National	RAM	missing	BusRoute 304, BusRoute 311, BusRoute 328, BusRoute 357, BusRoute 360, BusRoute 361, BusRoute 362, BusRoute 380, BusRoute 381, BusRoute 382, BusRoute 383
Great Britain	National	ARM	missing	BusRoute 710
