NPTDR File Region	NPTDR File Admin Area	ATCO Code	NPTDR Route Numbers
South East	Kent	998016701	CoachRoute 2
South West	Bristol	0100053214	BusRoute X10, BusRoute X11, BusRoute X14
South West	Bristol	998015256	CoachRoute 672
Yorkshire	South Yorkshire	998035374	CoachRoute 240, CoachRoute 465, CoachRoute 562
West Midlands	Worcestershire	43010399801	BusRoute 192, BusRoute 318, BusRoute 732, BusRoute 733, BusRoute 736, BusRoute 752, BusRoute 792, BusRoute 864, BusRoute X95
West Midlands	Worcestershire	43010313701	BusRoute 144
West Midlands	Worcestershire	43013914501	BusRoute 49, BusRoute 49A, BusRoute 63, BusRoute 884
West Midlands	Worcestershire	43013123001	BusRoute 007
West Midlands	Worcestershire	43010302001	BusRoute 143, BusRoute 178
West Midlands	Worcestershire	2000G790002	BusRoute 179
West Midlands	Worcestershire	43010302002	BusRoute 143, BusRoute 178
West Midlands	Worcestershire	43013122501	BusRoute 007
West Midlands	Worcestershire	43013908001	BusRoute 318, BusRoute FW6, BusRoute X19, BusRoute X7
West Midlands	Worcestershire	43013906001	BusRoute 318
West Midlands	Worcestershire	43010399201	BusRoute 192, BusRoute 732, BusRoute 733, BusRoute 736, BusRoute 752, BusRoute 792, BusRoute 864
West Midlands	Worcestershire	43013900501	BusRoute 144, BusRoute 202, BusRoute 204
West Midlands	Worcestershire	43012968502	BusRoute 143, BusRoute 178
West Midlands	Worcestershire	43013904501	BusRoute 007
West Midlands	Worcestershire	43013147702	BusRoute X7
West Midlands	Worcestershire	43013906002	BusRoute 318
West Midlands	Worcestershire	43013908002	BusRoute 318, BusRoute X19, BusRoute X7
West Midlands	Worcestershire	43010399301	BusRoute 192, BusRoute 732, BusRoute 733, BusRoute 736, BusRoute 752, BusRoute 792, BusRoute 864
West Midlands	Worcestershire	43010399202	BusRoute 192, BusRoute 732, BusRoute 733, BusRoute 736, BusRoute 752, BusRoute 792, BusRoute 864
West Midlands	Worcestershire	43010308802	BusRoute 146
West Midlands	Worcestershire	43013148901	BusRoute 143
West Midlands	Worcestershire	43011510002	BusRoute 143, BusRoute FW6
West Midlands	Worcestershire	43010399302	BusRoute 192, BusRoute 732, BusRoute 733, BusRoute 736, BusRoute 752, BusRoute 792, BusRoute 864
West Midlands	Worcestershire	43010305901	BusRoute 178
West Midlands	Worcestershire	43010308902	BusRoute 146
West Midlands	Worcestershire	2000G790018	BusRoute 178
West Midlands	Worcestershire	43011511502	BusRoute 179
West Midlands	Worcestershire	43010294101	BusRoute 178, BusRoute 517, BusRoute 519
Yorkshire	West Yorkshire	450025288	BusRoute 517
Yorkshire	West Yorkshire	998021381	CoachRoute 351
Yorkshire	West Yorkshire	998035374	CoachRoute 240, CoachRoute 465
Yorkshire	West Yorkshire	998022102	CoachRoute 664
Scotland	East Dunbartonshire	0000SPT9032	BusRoute 27A, BusRoute 27B
Scotland	East Dunbartonshire	0000SPT9404	BusRoute 142
Scotland	East Dunbartonshire	0000SPT8119	BusRoute 119
Scotland	East Dunbartonshire	0000SPT24431	BusRoute 47, BusRoute 47A
Scotland	East Dunbartonshire	0000SPT9300	BusRoute 178
Scotland	East Dunbartonshire	0000SPT4152	BusRoute 119, BusRoute 40, BusRoute 40A, BusRoute N40
South West	Torbay	998042705	CoachRoute 404
North East	Tyne & Wear	998035374	CoachRoute 425
South West	Cornwall	998041205	CoachRoute 500, CoachRoute 504
South West	Cornwall	998046125	CoachRoute 500, CoachRoute 504
South West	Cornwall	998042705	CoachRoute 404
Wales	Cardiff	998015256	CoachRoute 672
Wales	Torfaen	0100053214	BusRoute X14
South East	Milton Keynes	998035374	CoachRoute 425, CoachRoute 562
South East	Milton Keynes	998033333	CoachRoute 540, CoachRoute 550
Wales	Wrexham	3500WRX02221	BusRoute 60
Wales	Wrexham	0600AWQ26492	BusRoute 1
Wales	Wrexham	3500AWQ26500	BusRoute 2, BusRoute 2A
Wales	Wrexham	3500WRX02028	BusRoute 2A
Wales	Wrexham	3500PWX18990	BusRoute 60
Wales	Wrexham	900012312	BusRoute 2, BusRoute 2A
Wales	Wrexham	3500AWQ26504	BusRoute 2, BusRoute 60
Wales	Wrexham	0600FLX17125	BusRoute 1
Wales	Wrexham	3501B207402	BusRoute 2C, BusRoute 5A, BusRoute 6, BusRoute 64A, BusRoute 65, BusRoute X9
Wales	Wrexham	0600AWQ26489	BusRoute 1
Wales	Wrexham	3500WRX02001	BusRoute 2A
Wales	Wrexham	3500WRX02220	BusRoute 60
Wales	Wrexham	3500WRX02002	BusRoute 2A
Wales	Bridgend	998046125	CoachRoute 508
Scotland	Renfrewshire	0000SPT2706	BusRoute 66
Scotland	Renfrewshire	0000SPT17419	BusRoute 308
Scotland	Renfrewshire	0000SPT2607	BusRoute 306
Scotland	Renfrewshire	0000SPT2718	BusRoute 307
Scotland	Renfrewshire	0000SPT3487	BusRoute 54
Scotland	Renfrewshire	0000SPT22023	BusRoute 36B
