NPTDR File Region	NPTDR File Admin Area	ATCO Code	NPTDR Route Numbers
Scotland	Renfrewshire	0000SPT2779	BusRoute X35
Scotland	Renfrewshire	0000SPT22102	BusRoute 307, BusRoute 317
Scotland	Renfrewshire	0000SPT3171	BusRoute 3
Scotland	Renfrewshire	0000SPT2357	BusRoute 17
Scotland	Renfrewshire	0000SPT7594	BusRoute X23
Scotland	Renfrewshire	0000SPT2769	BusRoute 308
Scotland	Renfrewshire	0000SPT22148	BusRoute 69
Scotland	Renfrewshire	0000SPT2781	BusRoute 306
Scotland	Renfrewshire	0000SPT24919	BusRoute 6, BusRoute 7
Scotland	Renfrewshire	0000SPT2727	BusRoute 308
Scotland	Renfrewshire	0000SPT2662	BusRoute 10
North West	Blackpool	998021381	CoachRoute 351
North East	Northumberland	998035374	CoachRoute 425
South East	West Sussex	998035374	CoachRoute 240
Scotland	West Dunbartonshire	0000SPT5422	BusRoute 141
Scotland	West Dunbartonshire	0000SPT5424	BusRoute 141
Scotland	West Dunbartonshire	0000SPT24934	BusRoute 7A
Scotland	West Dunbartonshire	0000SPT1925	BusRoute 7A
Scotland	West Dunbartonshire	0000SPT1529	BusRoute 208
Scotland	West Dunbartonshire	0000SPT24913	BusRoute 145, BusRoute 146, BusRoute 208
Scotland	West Dunbartonshire	0000SPT1784	BusRoute 7A
Scotland	West Dunbartonshire	0000SPT24937	BusRoute 141
Scotland	West Dunbartonshire	0000SPT5165	BusRoute 204, BusRoute 205, BusRoute 215
Scotland	West Dunbartonshire	0000SPT8563	BusRoute 217, BusRoute 81, BusRoute 81A
Scotland	West Dunbartonshire	0000SPT5166	BusRoute 204, BusRoute 205, BusRoute 215
Scotland	West Dunbartonshire	0000SPT1898	BusRoute 6B
Scotland	West Dunbartonshire	0000SPT4152	BusRoute 40, BusRoute 40A, BusRoute N40
Scotland	West Dunbartonshire	0000SPT1811	BusRoute 145, BusRoute 146
East Midlands	Nottinghamshire	998035374	CoachRoute 465
North West	Lancashire	450025288	BusRoute 517
North West	Lancashire	998021381	CoachRoute 351
North West	Lancashire	998033333	CoachRoute 540, CoachRoute 550
North West	Lancashire	998022102	CoachRoute 664
South West	Plymouth	998041205	CoachRoute 500, CoachRoute 504
South West	Plymouth	998046125	CoachRoute 500, CoachRoute 504
South West	Plymouth	998042705	CoachRoute 404
East Midlands	Leicestershire	998035374	CoachRoute 240
East Midlands	Leicestershire	43011534801	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534702	BusRoute 48
East Midlands	Leicestershire	43011534901	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534802	BusRoute 48
East Midlands	Leicestershire	43010039001	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010116001	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534902	BusRoute 48
East Midlands	Leicestershire	43010039101	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010116002	BusRoute 48
East Midlands	Leicestershire	43010039002	BusRoute 48
East Midlands	Leicestershire	43011535001	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095501	BusRoute 48
East Midlands	Leicestershire	43010039201	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010039102	BusRoute 48
East Midlands	Leicestershire	43011535101	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095601	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010039202	BusRoute 48
East Midlands	Leicestershire	43010095502	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011535002	BusRoute 48
East Midlands	Leicestershire	43011535201	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095701	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095602	BusRoute 48
East Midlands	Leicestershire	43011535102	BusRoute 48
East Midlands	Leicestershire	43010039501	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534401	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011535301	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095801	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095702	BusRoute 48
East Midlands	Leicestershire	43011535202	BusRoute 48
East Midlands	Leicestershire	43011532301	BusRoute 48
East Midlands	Leicestershire	43010039601	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534501	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43010095802	BusRoute 48
East Midlands	Leicestershire	43011535302	BusRoute 48
East Midlands	Leicestershire	43011534402	BusRoute 48
East Midlands	Leicestershire	43010039502	BusRoute 48
East Midlands	Leicestershire	43011534601	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534502	BusRoute 48
East Midlands	Leicestershire	43010039602	BusRoute 48
East Midlands	Leicestershire	43011534701	BusRoute 48, BusRoute X48
East Midlands	Leicestershire	43011534602	BusRoute 48
West Midlands	Shropshire	2090PWX18498	BusRoute X11
West Midlands	Shropshire	3500WRX02221	BusRoute 60
West Midlands	Shropshire	2090PWX18499	BusRoute X11
West Midlands	Shropshire	2090PWX18500	BusRoute X11
West Midlands	Shropshire	3500AWQ26500	BusRoute 2, BusRoute 2A
West Midlands	Shropshire	3500PWX18481	BusRoute 738, BusRoute 740
West Midlands	Shropshire	3500WRX02028	BusRoute 2A
West Midlands	Shropshire	3500PWX18561	BusRoute D74
West Midlands	Shropshire	3500PWX18990	BusRoute 60
West Midlands	Shropshire	3500AWQ26504	BusRoute 2, BusRoute 60
West Midlands	Shropshire	900012312	BusRoute 2, BusRoute 2A
West Midlands	Shropshire	3500PWX18585	BusRoute X3, BusRoute X75
West Midlands	Shropshire	5610PWX18608	BusRoute 405
West Midlands	Shropshire	3501B207402	BusRoute 2C, BusRoute 5A, BusRoute 6, BusRoute 64A, BusRoute 65, BusRoute X9
West Midlands	Shropshire	3500PWX18586	BusRoute X3
West Midlands	Shropshire	3500PWX18553	BusRoute 71A
West Midlands	Shropshire	3500WRX02001	BusRoute 2A
West Midlands	Shropshire	3500PWX18576	BusRoute X3
West Midlands	Shropshire	2090PWX18497	BusRoute X11
West Midlands	Shropshire	3500B093807	BusRoute T10
West Midlands	Shropshire	3500PWX18598	BusRoute D76
West Midlands	Shropshire	3500WRX02220	BusRoute 60
West Midlands	Shropshire	3500WRX02002	BusRoute 2A
Wales	Carmarthenshire	998046125	CoachRoute 508
Wales	Powys	2090PWX18498	BusRoute X11
Wales	Powys	2090PWX18964	BusRoute 461
Wales	Powys	2090PWX18499	BusRoute X11
Wales	Powys	2090PWX18500	BusRoute X11
Wales	Powys	3500PWX18481	BusRoute 738, BusRoute 740
Wales	Powys	3500PWX18561	BusRoute D74
Wales	Powys	3500PWX18585	BusRoute X3, BusRoute X75
Wales	Powys	5610PWX18608	BusRoute 405
Wales	Powys	3500PWX18586	BusRoute X3
Wales	Powys	3500PWX18576	BusRoute X3
Wales	Powys	2090PWX18497	BusRoute X11
Wales	Powys	3500B093807	BusRoute T10
Wales	Powys	3500PWX18598	BusRoute D76
East Midlands	Derbyshire	998035374	CoachRoute 240, CoachRoute 465
Scotland	Edinburgh	0000SPT11405	BusRoute X17
South West	North Somerset	998042705	CoachRoute 404
Scotland	East Renfrewshire	0000SPT3474	BusRoute 52
Scotland	East Renfrewshire	0000SPT3487	BusRoute 54, BusRoute 55
Scotland	East Renfrewshire	0000SPT3281	BusRoute 52
Scotland	East Renfrewshire	0000SPT4621	BusRoute 229
Scotland	East Renfrewshire	0000SPT3614	BusRoute 44, BusRoute 44A
Scotland	East Renfrewshire	0000SPT24249	BusRoute 52
Scotland	East Renfrewshire	0000SPT3296	BusRoute 395
Yorkshire	Kingston upon Hull	998035374	CoachRoute 562
South West	Bath & North East Somerset	900098256	BusRoute 620
South West	Bath & North East Somerset	998042705	CoachRoute 404
East Midlands	Leicester	998016701	CoachRoute 2, CoachRoute 5, CoachRoute 6
East Midlands	Leicester	43019009501	BusRoute 657
East Midlands	Leicester	43010118001	BusRoute 657, BusRoute X_6
East Midlands	Leicester	43011534801	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011534702	BusRoute 48
East Midlands	Leicester	43017956501	BusRoute X_6
East Midlands	Leicester	43010118002	BusRoute X_6
East Midlands	Leicester	43011534901	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011534802	BusRoute 48
East Midlands	Leicester	43017959001	BusRoute X_6
East Midlands	Leicester	43017957001	BusRoute 657, BusRoute X_6
East Midlands	Leicester	43010039001	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010116001	BusRoute 48, BusRoute X_6, BusRoute X48
East Midlands	Leicester	43011534902	BusRoute 48
East Midlands	Leicester	43017957002	BusRoute 657
East Midlands	Leicester	43010039101	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010116002	BusRoute 48
East Midlands	Leicester	43010039002	BusRoute 48
East Midlands	Leicester	43017960501	BusRoute X_6
East Midlands	Leicester	43011535001	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095501	BusRoute 48
East Midlands	Leicester	43010039201	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010039102	BusRoute 48
East Midlands	Leicester	43011535101	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095601	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010039202	BusRoute 48
East Midlands	Leicester	43010095502	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011535002	BusRoute 48
East Midlands	Leicester	43011535201	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095701	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095602	BusRoute 48
East Midlands	Leicester	43011535102	BusRoute 48
East Midlands	Leicester	43017957501	BusRoute X_6
East Midlands	Leicester	43017956001	BusRoute X_6
East Midlands	Leicester	43011549601	BusRoute 657, BusRoute X_6
East Midlands	Leicester	43010039501	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011534401	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011535301	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095801	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095702	BusRoute 48
East Midlands	Leicester	43011535202	BusRoute 48
East Midlands	Leicester	43011549602	BusRoute X_6
East Midlands	Leicester	43011532301	BusRoute 48
East Midlands	Leicester	43010039601	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011534501	BusRoute 48, BusRoute X48
East Midlands	Leicester	43010095802	BusRoute 48
East Midlands	Leicester	43011535302	BusRoute 48
East Midlands	Leicester	43011534402	BusRoute 48
East Midlands	Leicester	43010039502	BusRoute 48
East Midlands	Leicester	43010088101	BusRoute 657, BusRoute X_6
East Midlands	Leicester	43011534601	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011534502	BusRoute 48
East Midlands	Leicester	43010039602	BusRoute 48
East Midlands	Leicester	43011534701	BusRoute 48, BusRoute X48
East Midlands	Leicester	43011534602	BusRoute 48
South West	South Gloucestershire	0100053214	BusRoute X11, BusRoute X14
South West	South Gloucestershire	900098256	BusRoute 620
Wales	Gwynedd	900011581	BusRoute 58
West Midlands	Warwickshire	43011552001	BusRoute X15
West Midlands	Warwickshire	43011537602	BusRoute X15, BusRoute X18
West Midlands	Warwickshire	43017971602	BusRoute 17B
West Midlands	Warwickshire	43010095601	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011992501	BusRoute 223
West Midlands	Warwickshire	43000103001	BusRoute 81
West Midlands	Warwickshire	43011532301	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute CEC3
West Midlands	Warwickshire	43017971202	BusRoute 17B
West Midlands	Warwickshire	43010095602	BusRoute 48
West Midlands	Warwickshire	43011534901	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43011992502	BusRoute 223
West Midlands	Warwickshire	43010102201	BusRoute 540, BusRoute 80, BusRoute 81
West Midlands	Warwickshire	43011547002	BusRoute C1
West Midlands	Warwickshire	43011534902	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43019200601	BusRoute 55A
West Midlands	Warwickshire	43010102202	BusRoute 540, BusRoute 80, BusRoute 81
West Midlands	Warwickshire	43011523901	BusRoute 16A, BusRoute 60, BusRoute X17, BusRoute X18
West Midlands	Warwickshire	43017971802	BusRoute 17B
West Midlands	Warwickshire	43010095801	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011421402	BusRoute 539
West Midlands	Warwickshire	43010097701	BusRoute 537
West Midlands	Warwickshire	43017973302	BusRoute 17B
West Midlands	Warwickshire	4200F125056	BusRoute UW2, BusRoute X18
West Midlands	Warwickshire	43010095802	BusRoute 48
West Midlands	Warwickshire	43017957001	BusRoute X_6
West Midlands	Warwickshire	43010190901	BusRoute 223, BusRoute 717
West Midlands	Warwickshire	43010092902	BusRoute 57, BusRoute B59, BusRoute CEC1, BusRoute H1
West Midlands	Warwickshire	43010039601	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43017971402	BusRoute 17B
West Midlands	Warwickshire	43019550101	BusRoute CEC4
West Midlands	Warwickshire	43019000101	BusRoute 115
West Midlands	Warwickshire	43011549701	BusRoute 74
West Midlands	Warwickshire	43010039602	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43019000102	BusRoute 115, BusRoute 767
West Midlands	Warwickshire	43011101002	BusRoute 1, BusRoute C1
West Midlands	Warwickshire	43011549702	BusRoute 74
West Midlands	Warwickshire	43010098001	BusRoute 12, BusRoute 16A, BusRoute 16X, BusRoute UW2, BusRoute X15
West Midlands	Warwickshire	43019008601	BusRoute 717, BusRoute 757, BusRoute 767, BusRoute 777, BusRoute 90
West Midlands	Warwickshire	43019008602	BusRoute 717, BusRoute 757, BusRoute 767, BusRoute 777, BusRoute 90
West Midlands	Warwickshire	43010096701	BusRoute 537
West Midlands	Warwickshire	43011815001	BusRoute UW2
West Midlands	Warwickshire	43010079001	BusRoute 55, BusRoute B59
West Midlands	Warwickshire	43010118001	BusRoute X_6
West Midlands	Warwickshire	43017956001	BusRoute X_6
West Midlands	Warwickshire	43017973702	BusRoute 17B
West Midlands	Warwickshire	43010079002	BusRoute 55, BusRoute 57
West Midlands	Warwickshire	43019551001	BusRoute CEC4
West Midlands	Warwickshire	43019840001	BusRoute 767, BusRoute 777
West Midlands	Warwickshire	43017939601	BusRoute 16, BusRoute X18
West Midlands	Warwickshire	43019550501	BusRoute CEC4
West Midlands	Warwickshire	43011552801	BusRoute X18
West Midlands	Warwickshire	43011409501	BusRoute 17B, BusRoute 232
West Midlands	Warwickshire	43011534401	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	4200F125062	BusRoute 777
West Midlands	Warwickshire	43011523401	BusRoute 16X, BusRoute 60, BusRoute X17, BusRoute X18
West Midlands	Warwickshire	43011535101	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011534402	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43010088101	BusRoute X_6
West Midlands	Warwickshire	43011535102	BusRoute 48
West Midlands	Warwickshire	43017930501	BusRoute 16, BusRoute 16A, BusRoute 16X, BusRoute 516, BusRoute X17
West Midlands	Warwickshire	43010039101	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011534601	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43017930502	BusRoute 16, BusRoute 16A, BusRoute X17
West Midlands	Warwickshire	43011878501	BusRoute 115, BusRoute 767
West Midlands	Warwickshire	43010039102	BusRoute 48
West Midlands	Warwickshire	43011535301	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011534602	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43017931501	BusRoute 516
West Midlands	Warwickshire	43017960501	BusRoute X_6
West Midlands	Warwickshire	43011878502	BusRoute 115
West Midlands	Warwickshire	43011535302	BusRoute 48
West Midlands	Warwickshire	43010095501	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute CEC4
West Midlands	Warwickshire	43017973002	BusRoute 17B
West Midlands	Warwickshire	43010095502	BusRoute 48, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43011534801	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43010116001	BusRoute 48, BusRoute X_6, BusRoute X48
West Midlands	Warwickshire	43010102101	BusRoute 540, BusRoute 80, BusRoute 81
West Midlands	Warwickshire	43010118602	BusRoute X18
West Midlands	Warwickshire	43011414502	BusRoute X15, BusRoute X18
West Midlands	Warwickshire	43011534802	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43010116002	BusRoute 48
West Midlands	Warwickshire	43010102102	BusRoute 540, BusRoute 80, BusRoute 81
West Midlands	Warwickshire	43017971702	BusRoute 17B
West Midlands	Warwickshire	43010095701	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43010095702	BusRoute 48
West Midlands	Warwickshire	43011527801	BusRoute 16
West Midlands	Warwickshire	43010039501	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute CEC4, BusRoute X48
West Midlands	Warwickshire	43011549601	BusRoute X_6
West Midlands	Warwickshire	43010039502	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43017972902	BusRoute 17B
West Midlands	Warwickshire	43017973602	BusRoute 17B
West Midlands	Warwickshire	43011525401	BusRoute 12, BusRoute 62, BusRoute U17, BusRoute U2
West Midlands	Warwickshire	43010094901	BusRoute 17B
West Midlands	Warwickshire	43010294101	BusRoute 517, BusRoute 519
West Midlands	Warwickshire	43011022001	BusRoute 48, BusRoute 50, BusRoute 57, BusRoute H1
West Midlands	Warwickshire	43011535001	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43017959001	BusRoute X_6
West Midlands	Warwickshire	43019200001	BusRoute 55, BusRoute 55A, BusRoute 57
West Midlands	Warwickshire	43017957501	BusRoute X_6
West Midlands	Warwickshire	43011022002	BusRoute 57
West Midlands	Warwickshire	43011101501	BusRoute 232
West Midlands	Warwickshire	43011535002	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43011009001	BusRoute 60
West Midlands	Warwickshire	43011899501	BusRoute 115, BusRoute 116, BusRoute 757
West Midlands	Warwickshire	43011546902	BusRoute C1
West Midlands	Warwickshire	43010039001	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011899502	BusRoute 115, BusRoute 116, BusRoute 757
West Midlands	Warwickshire	43019004001	BusRoute 232
West Midlands	Warwickshire	43011534501	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43017974102	BusRoute 17B
West Midlands	Warwickshire	43010039002	BusRoute 48
West Midlands	Warwickshire	43011535201	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43019004002	BusRoute 232
West Midlands	Warwickshire	43011534502	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43010094001	BusRoute 55, BusRoute 55A, BusRoute 56, BusRoute 57, BusRoute 772, BusRoute B59, BusRoute H1
West Midlands	Warwickshire	43011535202	BusRoute 48
West Midlands	Warwickshire	43010094002	BusRoute 55, BusRoute 56, BusRoute 57, BusRoute B59, BusRoute H1
West Midlands	Warwickshire	43010039201	BusRoute 48, BusRoute X48
West Midlands	Warwickshire	43011534701	BusRoute 48, BusRoute 55, BusRoute 57, BusRoute X48
West Midlands	Warwickshire	43011537601	BusRoute X15, BusRoute X18
West Midlands	Warwickshire	43010039202	BusRoute 48
West Midlands	Warwickshire	43011534702	BusRoute 48, BusRoute 57
West Midlands	Warwickshire	43018920502	BusRoute CEC1
West Midlands	Warwickshire	998035374	CoachRoute 240
North West	Blackburn with Darwen	998033333	CoachRoute 540
North West	Cheshire East	0600AWD71270	BusRoute 16
North West	Cheshire East	0600AWQ26492	BusRoute 1
North West	Cheshire East	0600ACX17018	BusRoute 10X
North West	Cheshire East	0600AWQ26548	BusRoute DB2, BusRoute DB3
North West	Cheshire East	0600AWQ26551	BusRoute DB2, BusRoute DB3
North West	Cheshire East	0600ACX17033	BusRoute DB1
North West	Cheshire East	0600ACX17034	BusRoute DB1
North West	Cheshire East	0600AWQ26553	BusRoute 16, BusRoute DB2
North West	Cheshire East	0600FLX17125	BusRoute 1
North West	Cheshire East	0600AWQ26554	BusRoute 16
North West	Cheshire East	0600AWQ26555	BusRoute 16
North West	Cheshire East	0600CH2547	BusRoute 16, BusRoute DB2
North West	Cheshire East	0600AWQ26489	BusRoute 1
North West	Cheshire East	0600AWQ26491	BusRoute X44
North West	Cheshire East	0600AWQ26557	BusRoute 6
East Midlands	Lincolnshire	998022102	CoachRoute 664
Scotland	North Lanarkshire	0000SPT11578	BusRoute X34
Scotland	North Lanarkshire	0000SPT15186	BusRoute 49
Scotland	North Lanarkshire	0000SPT12049	BusRoute 017
Scotland	North Lanarkshire	0000SPT12512	BusRoute X34
Scotland	North Lanarkshire	0000SPT11370	BusRoute 255
Scotland	North Lanarkshire	0000SPT15288	BusRoute 343
Scotland	North Lanarkshire	0000SPT11448	BusRoute 201
Scotland	North Lanarkshire	0000SPT15332	BusRoute D01, BusRoute D02
Scotland	North Lanarkshire	0000SPT11405	BusRoute X17
Scotland	North Lanarkshire	0000SPT11670	BusRoute 58
Scotland	North Lanarkshire	0000SPT15168	BusRoute 49
Scotland	North Lanarkshire	0000SPT9032	BusRoute 27A
Scotland	North Lanarkshire	0000SPT11647	BusRoute 2
Scotland	North Lanarkshire	0000SPT12338	BusRoute 115
Scotland	North Lanarkshire	0000SPT24431	BusRoute 47, BusRoute 47A
Scotland	North Lanarkshire	0000SPT11484	BusRoute 366
Scotland	North Lanarkshire	0000SPT12242	BusRoute X35
Scotland	North Lanarkshire	0000SPT12329	BusRoute 6
Scotland	North Lanarkshire	0000SPT24542	BusRoute 299
Scotland	North Lanarkshire	0000SPT12132	BusRoute 200
Scotland	North Lanarkshire	0000SPT12318	BusRoute 1
Scotland	North Lanarkshire	0000SPT7605	BusRoute X35
Scotland	North Lanarkshire	0000SPT11453	BusRoute 366
Scotland	North Lanarkshire	0000SPT15171	BusRoute 34, BusRoute 35
Scotland	North Lanarkshire	0000SPT12364	BusRoute 1
Scotland	North Lanarkshire	0000SPT12319	BusRoute 1
Scotland	North Lanarkshire	0000SPT11630	BusRoute X34
Scotland	North Lanarkshire	0000SPT9300	BusRoute 132, BusRoute 178
Scotland	North Lanarkshire	0000SPT12365	BusRoute 1
Scotland	North Lanarkshire	0000SPT11488	BusRoute 355
Scotland	North Lanarkshire	0000SPT11202	BusRoute 2
Scotland	North Lanarkshire	0000SPT12366	BusRoute 1
Scotland	North Lanarkshire	0000SPT11544	BusRoute 58
Scotland	North Lanarkshire	0000SPT24809	BusRoute 44
Scotland	North Lanarkshire	0000SPT12367	BusRoute 1
Wales	Swansea	998015256	CoachRoute 672
Wales	Swansea	998046125	CoachRoute 508
Scotland	South Lanarkshire	0000SPT10939	BusRoute L2
Scotland	South Lanarkshire	0000SPT10269	BusRoute 52
