NPTDR File Region	NPTDR File Admin Area	ATCO Code	NPTDR Route Numbers
Great Britain	National	5330AWA16960	BusRoute 756, BusRoute 791
Great Britain	National	490000254009	TramMetroRoute WAC0
Great Britain	National	490000276005	TramMetroRoute NTN0
Great Britain	National	9400ZZLUDGY1	TramMetroRoute DIS0
Great Britain	National	190018709E	BusRoute 273
Great Britain	National	AIMLAR	FerryRoute PO1, FerryRoute PO2
Great Britain	National	9300WAP	FerryRoute 0TCa
Great Britain	National	9300RQP	FerryRoute 0RLa
Great Britain	National	490000238006	TramMetroRoute DIS0
Great Britain	National	9300THP	FerryRoute 0TLa
Great Britain	National	TTA2322	FerryRoute HSS, FerryRoute SL1
Great Britain	National	450025288	BusRoute 517
Great Britain	National	5610PWX18608	BusRoute 405
Great Britain	National	AIMZEE	FerryRoute NF1
