"NptgLocalityCode","LocalityName","LocalityNameLang","ShortName","ShortNameLang","QualifierName","QualifierNameLang","QualifierLocalityRef","QualifierDistrictRef","AdministrativeAreaCode","NptgDistrictCode","SourceLocalityType","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",""
"E0034964","Amesbury","EN","","","NE Somerset","","","","001","310","Lo","U",365491,158651,"2005-10-05T11:18:07","2005-10-05T11:18:07",0,"",""
"E0034965","Ashgrove","EN","","","Peasedown St John","","","","001","310","Lo","U",370798,157864,"2005-10-05T11:18:23","2005-10-05T11:18:23",0,"",""
