"ParentNptgLocalityCode","ChildNptgLocalityCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"E0052932","E0034965","2005-01-11T10:51:15","2005-01-11T10:51:15","0","",""
"E0054812","E0034968","2008-09-10T15:32:55","2008-09-10T15:32:55","0","new",""
"E0054812","E0034971","2008-09-10T15:32:54","2008-09-10T15:32:54","0","new",""
