"NptgLocalityCode","OldNptgLocalityCode","LocalityName","LocalityNameLang","ShortName","ShortNameLang","QualifierName","QualifierNameLang","QualifierLocalityRef","QualifierDistrictRef","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"E0053943","N0071075","Abertyleri","CY","","","","","","","2002-09-19T07:34:51","2002-09-19T07:34:51","0","",""
"N0071725","N0060774","Whitegrove","EN","","","","","","","2002-12-27T22:27:17","2002-12-27T22:27:17","0","",""
