"AtcoCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"01000053203","bstgmdt","",,"Bus Station Bay 19","","Bristol Bus Station - Bay 19","","Bristol Bus Station","","N/A","","Cannon Street","","Bay 19","","SW","N0077024","Broadmead","Bristol","","","","","","0","U",358945,173526,-2.59232,51.45921,"BCT","MKD","OTH","","","","009","2007-02-01T00:00:00","2009-08-25T00:00:00",0,"new","act"
"01000053204","bstgmdj","",,"Bus Station Bay 18","","Bristol Bus Station - Bay 18","","Bristol Bus Station","","Marlborough Street","","Cannon Street","","Bay 18","","SW","N0077024","Broadmead","Bristol","","","","","","0","U",358943,173525,-2.59235,51.4592,"BCT","MKD","OTH","","","","009","2007-02-01T00:00:00","2009-08-25T00:00:00",0,"new","act"
"036006002416","","",,"Queen Street","","","","Broadway","","Queen Street","","","","o/s Chicago Rock Café","","","N0076683","Maidenhead Town Centre","Maidenhead","","Maidenhead","","Maidenhead Town Centre","","0","U",488872,180998,-0.72048,51.52092,"TXR","","","","","","065","2004-05-24T00:00:00","2004-05-24T00:00:00",0,"new","act"
