Vehicle Code	Route Number	Operator Code	Locations
B	376 	BL	3600SOB21001,3600SOB21008,3600SOB21011,3600SOB21016,3600SOB21018,3600SOB21020,3600SOB21028,3600SOB21030,3600SOB21031,3600SOB21296,3600SOB21294,3600SOB21292,3600SOB21290,3600SOA56636,3600SOB21286,3600SOB21281,3600SOB21279,3600SOB21277,3600SOB21276,3600SOB21269,3600SOB21271,3600SOB21273,0180BAC30917,0180BAC30918,0180BAC30921,0180BAC30922,0180BAC30925,0180BAC30927,0180BAC30928,0180BAC30931,0180BAC30933,0180BAC30935,0180BAC30938,0180BAC30953,0180BAC30940,0180BAC30942,0180BAC30943,0180BAC30950,0180BAC30945,0180BAC30747,0180BAC30748,0100BRA10352,0100BRA10353,0100BRA10062,0100BRA10354,0100BRA10174,0100BRA10171,0100BRA10355,0100BRA10356,0100BRA10357,0100BRA10358,0100BRP90318,0100BRP90320,0100BRP90354,0100BRP90364,01000053212
B	376 	BL	3600SOB21001,3600SOB21008,3600SOB21004,3600SOB21038,3600SOB21041,3600SOB21251,3600SOB21254,3600SOB21283,3600SOB21281,3600SOB21279,3600SOB21277,3600SOA56638,3600SOB21276,3600SOB21269,3600SOB21271,3600SOB21273,0180BAC30917,0180BAC30918,0180BAC30921,0180BAC30922,0180BAC30925,0180BAC30927,0180BAC30928,0180BAC30931,0180BAC30933,0180BAC30935,0180BAC30938,0180BAC30953,0180BAC30940,0180BAC30942,0180BAC30943,0180BAC30950,0180BAC30945,0180BAC30747,0180BAC30748,0100BRA10352,0100BRA10353,0100BRA10062,0100BRA10354,0100BRA10174,0100BRA10171,0100BRA10355,0100BRA10356,0100BRA10357,0100BRA10358,0100BRP90318,0100BRP90320,0100BRP90354,0100BRP90364,01000053212
