ATCO code	Name	Easting	Northing	Locality ID	Lat	Lon	Stop type
9300RQP	Riverside Quarter Pier				51.46277	-0.19901	FER
9300WAP	Woolwich Arsenal Pier				51.495858	0.070982	FER
9300THP	Twickenham Hammertons Pier				51.44706	-0.31539	FER
9400ZZLUDGY1	Dagenham Heathway Underground Station				51.54164	0.14754	MET
490000276005	Woodside Park Underground Station				51.61796	-0.18516	MET
490000238006	Tower Hill Underground Station				51.510046	-0.076352	MET
490000254009	Waterloo Underground Station				51.50382	-0.11328	MET
